11.90 ,0.00 ,179.50 
11.79 ,0.00 ,179.00 
11.69 ,0.00 ,178.50 
11.58 ,0.01 ,178.00 
11.48 ,0.01 ,177.50 
11.37 ,0.02 ,177.00 
11.27 ,0.02 ,176.50 
11.16 ,0.03 ,176.00 
11.06 ,0.04 ,175.50 
10.95 ,0.05 ,175.00 
10.85 ,0.06 ,174.50 
10.75 ,0.07 ,174.00 
10.64 ,0.08 ,173.50 
10.54 ,0.09 ,173.00 
10.43 ,0.10 ,172.50 
10.33 ,0.12 ,172.00 
10.23 ,0.13 ,171.50 
10.12 ,0.15 ,171.00 
10.02 ,0.16 ,170.50 
9.92 ,0.18 ,170.00 
9.81 ,0.20 ,169.50 
9.71 ,0.22 ,169.00 
9.61 ,0.24 ,168.50 
9.51 ,0.26 ,168.00 
9.40 ,0.28 ,167.50 
9.30 ,0.31 ,167.00 
9.20 ,0.33 ,166.50 
9.10 ,0.36 ,166.00 
9.00 ,0.38 ,165.50 
8.89 ,0.41 ,165.00 
8.79 ,0.44 ,164.50 
8.69 ,0.46 ,164.00 
8.59 ,0.49 ,163.50 
8.49 ,0.52 ,163.00 
8.39 ,0.56 ,162.50 
8.29 ,0.59 ,162.00 
8.19 ,0.62 ,161.50 
8.09 ,0.65 ,161.00 
7.99 ,0.69 ,160.50 
7.90 ,0.72 ,160.00 
7.80 ,0.76 ,159.50 
7.70 ,0.80 ,159.00 
7.60 ,0.83 ,158.50 
7.50 ,0.87 ,158.00 
7.41 ,0.91 ,157.50 
7.31 ,0.95 ,157.00 
7.22 ,1.00 ,156.50 
7.12 ,1.04 ,156.00 
7.02 ,1.08 ,155.50 
6.93 ,1.12 ,155.00 
6.83 ,1.17 ,154.50 
6.74 ,1.21 ,154.00 
6.65 ,1.26 ,153.50 
6.55 ,1.31 ,153.00 
6.46 ,1.36 ,152.50 
6.37 ,1.40 ,152.00 
6.27 ,1.45 ,151.50 
6.18 ,1.50 ,151.00 
6.09 ,1.56 ,150.50 
6.00 ,1.61 ,150.00 
5.91 ,1.66 ,149.50 
5.82 ,1.71 ,149.00 
5.73 ,1.77 ,148.50 
5.64 ,1.82 ,148.00 
5.55 ,1.88 ,147.50 
5.46 ,1.94 ,147.00 
5.38 ,1.99 ,146.50 
5.29 ,2.05 ,146.00 
5.20 ,2.11 ,145.50 
5.12 ,2.17 ,145.00 
5.03 ,2.23 ,144.50 
4.95 ,2.29 ,144.00 
4.86 ,2.35 ,143.50 
4.78 ,2.42 ,143.00 
4.69 ,2.48 ,142.50 
4.61 ,2.54 ,142.00 
4.53 ,2.61 ,141.50 
4.45 ,2.67 ,141.00 
4.37 ,2.74 ,140.50 
4.29 ,2.81 ,140.00 
4.21 ,2.88 ,139.50 
4.13 ,2.94 ,139.00 
4.05 ,3.01 ,138.50 
3.97 ,3.08 ,138.00 
3.89 ,3.15 ,137.50 
3.82 ,3.22 ,137.00 
3.74 ,3.30 ,136.50 
3.66 ,3.37 ,136.00 
3.59 ,3.44 ,135.50 
3.51 ,3.51 ,135.00 
3.44 ,3.59 ,134.50 
3.37 ,3.66 ,134.00 
3.30 ,3.74 ,133.50 
3.22 ,3.82 ,133.00 
3.15 ,3.89 ,132.50 
3.08 ,3.97 ,132.00 
3.01 ,4.05 ,131.50 
2.94 ,4.13 ,131.00 
2.88 ,4.21 ,130.50 
2.81 ,4.29 ,130.00 
2.74 ,4.37 ,129.50 
2.67 ,4.45 ,129.00 
2.61 ,4.53 ,128.50 
2.54 ,4.61 ,128.00 
2.48 ,4.69 ,127.50 
2.42 ,4.78 ,127.00 
2.35 ,4.86 ,126.50 
2.29 ,4.95 ,126.00 
2.23 ,5.03 ,125.50 
2.17 ,5.12 ,125.00 
2.11 ,5.20 ,124.50 
2.05 ,5.29 ,124.00 
1.99 ,5.38 ,123.50 
1.94 ,5.46 ,123.00 
1.88 ,5.55 ,122.50 
1.82 ,5.64 ,122.00 
1.77 ,5.73 ,121.50 
1.71 ,5.82 ,121.00 
1.66 ,5.91 ,120.50 
1.61 ,6.00 ,120.00 
1.56 ,6.09 ,119.50 
1.50 ,6.18 ,119.00 
1.45 ,6.27 ,118.50 
1.40 ,6.37 ,118.00 
1.36 ,6.46 ,117.50 
1.31 ,6.55 ,117.00 
1.26 ,6.65 ,116.50 
1.21 ,6.74 ,116.00 
1.17 ,6.83 ,115.50 
1.12 ,6.93 ,115.00 
1.08 ,7.02 ,114.50 
1.04 ,7.12 ,114.00 
1.00 ,7.22 ,113.50 
0.95 ,7.31 ,113.00 
0.91 ,7.41 ,112.50 
0.87 ,7.50 ,112.00 
0.83 ,7.60 ,111.50 
0.80 ,7.70 ,111.00 
0.76 ,7.80 ,110.50 
0.72 ,7.90 ,110.00 
0.69 ,7.99 ,109.50 
0.65 ,8.09 ,109.00 
0.62 ,8.19 ,108.50 
0.59 ,8.29 ,108.00 
0.56 ,8.39 ,107.50 
0.52 ,8.49 ,107.00 
0.49 ,8.59 ,106.50 
0.46 ,8.69 ,106.00 
0.44 ,8.79 ,105.50 
0.41 ,8.89 ,105.00 
0.38 ,9.00 ,104.50 
0.36 ,9.10 ,104.00 
0.33 ,9.20 ,103.50 
0.31 ,9.30 ,103.00 
0.28 ,9.40 ,102.50 
0.26 ,9.51 ,102.00 
0.24 ,9.61 ,101.50 
0.22 ,9.71 ,101.00 
0.20 ,9.81 ,100.50 
0.18 ,9.92 ,100.00 
0.16 ,10.02 ,99.50 
0.15 ,10.12 ,99.00 
0.13 ,10.23 ,98.50 
